Feature,Importance
FP_802,0.0007235450235453311
FP_1487,0.0007216999158146856
FP_1410,0.00071919586114337
FP_1950,0.0007161371728754021
FP_143,0.0007148731360811531
FP_1168,0.0007147180125775379
FP_1972,0.0007135403699634121
FP_1854,0.0007130327952057706
FP_832,0.0007129150960916637
FP_913,0.0007125468016888065
FP_1812,0.0007111298073486801
FP_1768,0.0007083687107601963
FP_486,0.0006989486907305066
FP_796,0.0006863753655044998
FP_1266,0.0006855008349984609
FP_1384,0.0006815738250830919
FP_4,0.0006804926527779071
FP_118,0.0006786112328268612
FP_1552,0.0006775961800644428
FP_1524,0.0006722841472229186
FP_1741,0.0006661203061762474
FP_383,0.0006647811332215427
FP_1170,0.0006642061646698435
FP_29,0.0006578966962965764
FP_1978,0.0006564618136424263
FP_14,0.0006551316779772155
FP_275,0.0006487311363718231
FP_1516,0.0006470628988990633
FP_1736,0.0006457136718553437
FP_909,0.0006392260865474493
FP_1387,0.0006342769935834051
FP_931,0.0006340610684047471
FP_1647,0.0006326582502577507
FP_280,0.0006294511176720121
FP_1437,0.0006278157163094501
FP_652,0.0006228114549044392
FP_1004,0.0006209501623027967
FP_92,0.0006203203748801856
FP_335,0.000616278695549905
FP_458,0.0006137562763777379
FP_1181,0.0006006701867801204
FP_1511,0.0006005195483924662
FP_745,0.0005997890725553818
FP_191,0.0005989698659544259
FP_484,0.0005973730417999521
FP_654,0.000595715058326841
FP_524,0.0005909129362468282
FP_1203,0.0005869013777435598
FP_974,0.0005860013648882168
FP_1070,0.0005858597257416544
FP_353,0.0005826810801705649
FP_1182,0.0005804202834562092
FP_592,0.000579160498268901
FP_558,0.0005786480597026175
FP_980,0.0005772602008601976
FP_1883,0.0005765339750585869
FP_94,0.0005762109809948331
FP_1840,0.0005743293438809437
FP_216,0.0005742231779012669
FP_20,0.000562927131452509
FP_1162,0.000558179602380011
FP_34,0.0005515730988638588
FP_1536,0.0005511871056305385
FP_835,0.0005505992634064412
FP_564,0.0005491800272378539
FP_352,0.0005442805036060971
FP_1471,0.0005437485561481641
FP_785,0.0005430674978204562
FP_736,0.000538731149786917
FP_242,0.0005364336976470261
FP_1832,0.0005285662723186996
FP_491,0.0005270351960511705
FP_1625,0.0005233885118100594
FP_898,0.000522516056631014
FP_625,0.0005224703474700355
FP_507,0.0005191361978298568
FP_1607,0.0005156558755839435
FP_1049,0.0005141176519755407
FP_1104,0.0005138891878615148
FP_1094,0.000513062296049869
FP_816,0.00050692109855471
FP_147,0.0005029689508455845
FP_1136,0.0005020994482607832
FP_1221,0.0005001641851838911
FP_1370,0.0004985156536098825
FP_715,0.0004976120267259093
FP_1280,0.0004951923677157275
FP_790,0.0004941193268933234
FP_694,0.0004938131436184944
FP_409,0.000491707554360287
FP_2038,0.0004881262076693276
FP_413,0.000486636251669306
FP_1290,0.00048368166500160225
FP_311,0.0004826904497688354
FP_448,0.00047748521794148613
FP_786,0.0004769179748779506
FP_833,0.000473766615722927
FP_104,0.0004736079629493803
FP_781,0.0004730551466486683
FP_497,0.00046787905343305484
FP_1349,0.00046649227422212807
FP_794,0.0004656447834855881
FP_90,0.0004649987526760664
FP_1836,0.0004638896227509726
FP_255,0.00046258623064063346
FP_369,0.00046195572076176056
FP_562,0.00045511158846404926
FP_623,0.0004515149806322083
FP_1991,0.00044945879171784414
FP_1966,0.0004479943403952341
FP_1663,0.00044719866463934806
FP_549,0.0004467219112372988
FP_1138,0.0004434701213532674
FP_873,0.00044112372347688287
FP_635,0.00044100613007106
FP_231,0.0004398948460184676
FP_1344,0.0004352456690446513
FP_1783,0.0004346483244565454
FP_800,0.00043152229567969464
FP_1670,0.0004245941650175909
FP_728,0.0004216503659122846
FP_865,0.0004181556406791075
FP_699,0.00041729442321196565
FP_917,0.00041715601959744505
FP_1708,0.00041498668789166084
FP_340,0.0004147186978983414
FP_1693,0.0004107655886270327
FP_1367,0.00040797368283083
FP_937,0.0004079347078545608
FP_1734,0.0004052961958769319
FP_1226,0.0004047744269217337
FP_142,0.00040382403917053964
FP_2000,0.00040288950340144284
FP_106,0.00040235286665271826
FP_1441,0.00040108202897871416
FP_888,0.00040066161155513126
FP_724,0.00040054847078904054
FP_1792,0.00039991051692852837
FP_1618,0.0003998055523704615
FP_771,0.0003992599805062351
