UMAP1,UMAP2,pKi
8.032093,14.761363,5.860120913598763
6.285411,16.520014,7.645891560852599
6.957515,14.192979,7.42021640338319
8.010845,14.756038,8.366531544420413
-1.6041039,14.793395,6.301029995663981
6.6973653,13.116107,7.698970004336019
7.2159657,14.536678,6.910094888560602
-25.02233,13.859456,9.221848749616356
7.416284,14.415625,8.638272163982407
2.8582394,14.943107,9.500038134403807
6.9223614,14.16436,7.638272163982407
-10.71348,-20.499428,8.397940008672037
7.4142833,14.038959,8.0268721464003
-10.709259,-20.505278,8.397940008672037
7.7726054,14.601741,6.301029995663981
7.024845,14.190341,7.657577319177793
7.6263366,14.617978,7.721246399047171
3.5019584,16.825432,9.4000078224159
7.6255245,14.982375,6.853871964321762
7.521913,14.518408,7.443697499232712
6.296082,16.532007,7.189095719331299
6.2731667,16.51318,8.320572103387882
7.416893,14.3963375,7.920818753952375
7.055543,14.138594,7.853871964321762
7.3681545,14.556484,7.5376020021010435
6.3028584,16.533209,7.995678626217358
7.0130796,14.150823,7.744727494896693
-1.5197647,14.829417,7.292429823902063
7.04285,14.389091,7.42021640338319
7.2112694,14.626695,6.585026652029182
6.974516,14.255121,8.075720713938118
6.2791405,16.51251,8.882728704344236
4.1263847,11.894541,7.431798275933005
-1.5807241,14.803709,6.301029995663981
8.005612,14.742058,7.374687549038326
7.344039,14.399457,6.966576244513051
3.5630841,16.847513,8.79997073344623
8.002764,14.758157,7.040005161671584
6.2862935,16.52213,8.602059991327963
-10.714411,-20.498556,8.576754126063193
7.1464415,14.4584255,7.823908740944319
7.607252,15.015914,7.568636235841013
6.6360607,13.074579,6.82102305270683
10.658911,12.851652,8.3767507096021
10.101587,13.45647,5.0
10.694533,12.811777,8.221848749616356
5.379742,14.443133,6.958607314841775
5.37674,14.458035,7.0
10.139226,13.450021,6.384049948343599
10.672161,12.841137,8.455931955649724
7.5827336,15.043612,7.102372908709558
10.6684675,12.844874,8.2839966563652
7.856616,14.790937,7.397940008672037
7.049714,14.815457,6.0
7.082827,13.914947,7.657577319177793
7.0652823,13.902004,7.700057099977233
6.553001,13.039732,7.259637310505756
10.072896,13.480841,6.58838029403677
10.064699,13.429874,6.681936665037238
7.5167994,15.052345,8.431798275933005
10.672626,12.842034,8.337242168318426
10.038386,13.4688015,6.920818753952375
6.6235433,13.058688,7.5376020021010435
6.6222467,13.05968,7.060480747381382
-2.7460792,3.7563124,8.537602002101044
-2.746346,3.7565486,8.568636235841012
5.240269,14.406409,9.130768280269024
5.2420855,14.402458,9.100015437450608
6.5779495,13.040006,7.397940008672037
7.036943,14.803263,7.100015437450609
7.0561843,14.8171215,6.0
10.68127,12.831434,8.568636235841012
7.605915,14.495195,9.30102999566398
10.105779,13.410082,6.872895201635193
10.072503,13.475461,7.1487416512809245
7.0891356,13.918739,8.022276394711152
7.0890594,13.9283495,8.0
3.8442721,14.216287,5.76421912967244
3.8244722,14.215737,6.170053304058364
7.583964,15.064529,9.096910013008056
7.23557,14.621358,8.154901959985743
7.2246447,14.614596,8.199970640755867
6.686458,13.099211,6.045275209020937
9.7985935,13.5387945,8.4089353929735
9.790412,13.561134,7.337242168318426
6.2406044,16.495066,9.0
9.947417,13.459591,7.721246399047171
6.37826,13.4189625,9.958607314841776
6.3989687,13.404928,8.958607314841775
-10.713347,-20.49913,8.366531544420413
-10.726643,-20.486004,8.812479279163536
7.1966763,14.709457,8.300162274132754
7.230961,14.642471,8.299988937677888
6.5339055,13.013938,7.431798275933005
10.690183,12.824469,8.55284196865778
7.763636,14.650115,8.309803919971486
7.7957644,14.651777,7.568636235841013
6.916356,14.82663,6.0
10.108689,13.443276,5.6611452537476765
-10.716315,-20.503883,8.187086643357144
-10.714747,-20.498102,7.221848749616356
10.12805,13.461435,6.634512015109101
10.387308,13.046137,8.568636235841012
10.670007,12.841829,8.522878745280337
10.669399,12.844569,8.42021640338319
6.402691,13.395576,7.356547323513812
6.4079003,13.376167,7.744727494896693
7.5371046,15.051219,8.537602002101044
9.733101,5.0792756,7.1487416512809245
9.725928,5.0611935,7.387216143280264
7.562845,15.037886,9.022276394711152
9.777983,5.087504,7.920818753952375
9.778906,5.0887117,7.899974269892137
10.58221,12.904397,8.0
10.095809,13.44687,6.507239610973162
7.067159,14.797164,6.0
-24.997517,13.83533,9.744727494896694
7.1191545,13.935693,7.886056647693163
7.1306777,13.9060335,7.899974269892137
6.6182947,13.084993,6.508638306165727
10.030769,13.484882,6.718966632752273
7.024872,14.799589,6.199998172182031
7.095526,13.924874,7.443697499232712
7.1234107,13.902117,7.400007822415902
10.3001995,13.130537,8.431798275933005
10.678746,12.833733,8.301029995663981
7.489168,14.717649,7.221848749616356
4.665316,4.503129,8.154901959985743
-10.696409,-20.516502,8.400007822415901
6.681993,13.103558,6.512861624522813
5.3762226,14.419135,8.795880017344075
5.3642077,14.436637,8.79997073344623
10.68184,12.832113,8.522878745280337
10.398899,13.0953,7.958607314841775
7.2961473,14.563664,7.920818753952375
7.199693,14.6440115,8.67778070526608
-25.010145,13.847346,8.853871964321762
-25.003338,13.840596,8.619788758288394
6.2843084,14.950656,6.199998172182031
6.572682,13.059004,6.694648630553377
