PC1,PC2,pKi
-1.46633791270381,6.855483937045422,7.599980364934842
-1.000478852038198,7.448060071338174,5.59999938302362
-2.055708653036244,6.989666157191038,6.599997654072044
-5.6894944951932676,7.239619461681196,8.0
-3.948220059636979,2.795752184042763,8.400007822415901
-2.10444419445742,7.287056133820328,8.199970640755867
-1.0476320531021732,6.8609972273454085,8.0
-5.048491009112106,5.868477993247705,7.700057099977233
-4.566485838206488,6.358553745641068,6.699991797446187
-4.601371403274271,3.95968414675806,8.029978734171634
-1.8600331170822684,6.925660999358273,6.499996931948306
-4.560015285634259,5.855925767819778,8.280006173632396
-4.601516437570999,3.9599599020408895,7.169989064063882
-4.821792786830434,6.442152289607019,7.079981083971085
-4.853228591337884,5.698935627990751,7.029978734171634
-1.3273676931645502,1.028052436131846,8.700057099977233
-1.3755626017190985,6.7225760553422464,8.500038134403809
-5.227348548307971,6.7917610083484785,7.309981219211305
-1.1067693290512055,7.008232428370228,7.400007822415902
-5.186608400328683,7.149319082746081,8.029978734171634
-3.8233715945199336,4.664978976371049,6.900008766455316
-1.670720652545682,6.311542767972077,7.199970640755866
-3.3964236041231257,4.258444962064166,8.230032198670557
-1.7036625310237983,7.358729177868163,5.899998417198648
-5.7542389457924425,7.090184056751697,8.389978975335854
-3.005636455758247,3.7197975150878237,5.410000161858408
-4.560005741448253,5.855907621355311,8.849857838151442
-5.7430244007924545,7.238834219027496,8.289967300934247
-2.0989199118774446,7.339419970236108,7.700057099977233
-1.3136082313723163,7.089369112432655,8.100015437450608
-4.352139111753915,5.128952454981992,5.940001369850308
-4.128437998431669,4.805766940600159,6.699991797446187
-4.125460117487227,2.3440059203677595,5.369999510099088
-1.849222218016251,6.808283801312442,7.599980364934842
-4.532619480457722,3.8137146967605537,6.060001790087838
-2.478403008387455,8.108482563388778,8.199970640755867
-4.560487407728802,6.517361329291116,7.899974269892137
-2.085696996484152,6.989816163196923,7.700057099977233
-4.560011261397291,5.855918116494342,8.439973751087107
-5.16427807688702,6.949882305693938,8.36001575195841
-4.01530963294755,5.715216319053587,7.169989064063882
-4.662438739568647,5.91656306466485,6.740000204918113
-4.659264567823347,5.045045438415401,5.550000451689026
-4.292631708174063,5.015593954579886,7.0
-3.8705566644201865,5.633553797021729,9.32002730572258
-2.15218897433575,7.510574975905854,7.599980364934842
-6.792493773366496,9.976361072448233,9.79997073344623
-4.865313677326129,4.183906340813031,7.450016388840311
-5.208052382971996,6.394461410501536,8.349984047528162
-5.531785418863635,5.976507285368368,7.53003079050004
-0.46553709326174536,-2.501054311134832,7.789949150124863
-0.46550204730937045,-2.5011209443845326,8.669992299127241
1.1458054859684956,0.0835311391064552,7.096910013008056
0.949706028216622,-1.0506081744007612,6.900008766455316
0.9499708016062779,-1.0511115909208328,7.709965388637482
2.217662131346839,1.1253783613949486,6.589999287456538
1.1060464583347636,-1.361583783878449,7.090016305060156
1.1061735814172307,-1.3618254843751618,7.519993057042849
2.370544113835657,-0.358950096932703,8.698970004336019
-4.2536675813525004,6.507001619163682,8.53003079050004
0.7966377909973658,-0.8882941170156418,7.599980364934842
0.7966099423816098,-0.8882411681401873,7.439973751087107
-0.25720909949921184,-3.17300114505042,7.639974910810602
-0.25716970080072743,-3.1730760542235483,8.15002808767115
-0.43536344072218286,1.0896296136817187,5.537602002101044
-0.840042546876481,2.0123128291785632,5.823908740944319
3.1090047791826145,0.24005977260970923,6.98999702587294
0.9792296953468584,3.563073582073763,6.060001790087838
-1.5031331678123523,0.827188385248883,7.886056647693163
-0.7486549857367114,-0.1451993266460974,7.179995693191682
-0.7485282359600858,-0.1454403173723617,7.819874124835946
