tSNE1,tSNE2,pKi
-45.684708,68.42695,8.2839966563652
-52.7538,15.7842655,7.397940008672037
-48.473587,12.725285,6.0
-28.215343,34.35915,7.657577319177793
-28.215343,34.35915,7.700057099977233
-19.764912,34.365265,7.259637310505756
-42.531036,58.965405,6.58838029403677
-41.614742,59.095287,6.681936665037238
-32.63424,30.430857,8.431798275933005
-45.901245,67.4893,8.337242168318426
-41.58194,57.496883,6.920818753952375
-43.65397,36.479767,7.5376020021010435
-43.65397,36.479767,7.060480747381382
-72.36221,30.619133,8.537602002101044
-72.36221,30.619133,8.568636235841012
-58.522835,16.470394,9.130768280269024
-58.522835,16.470394,9.100015437450608
-24.85135,33.1306,7.397940008672037
-49.06695,11.45798,7.100015437450609
-49.128437,11.5314665,6.0
-48.29172,69.42412,8.568636235841012
44.515453,40.278023,9.30102999566398
-43.0634,58.19568,6.872895201635193
-43.12576,59.786278,7.1487416512809245
-29.070486,36.323174,8.022276394711152
-29.070486,36.323174,8.0
-11.2535515,-15.178802,5.76421912967244
-11.2535515,-15.178802,6.170053304058364
-29.514786,27.63923,9.096910013008056
-24.392052,53.34158,8.154901959985743
-24.392052,53.34158,8.199970640755867
-4.838547,40.539867,6.045275209020937
-41.00961,51.017513,8.4089353929735
-39.414318,51.030857,7.337242168318426
-50.048183,17.24212,9.0
-41.485554,57.323967,7.721246399047171
-58.792892,-14.346639,9.958607314841776
-58.793266,-14.346771,8.958607314841775
-43.91637,107.81737,8.366531544420413
-43.91637,107.81737,8.812479279163536
-33.164352,19.979847,8.300162274132754
-33.164352,19.979847,8.299988937677888
-24.711061,33.703945,7.431798275933005
-48.20627,68.70758,8.55284196865778
-40.7802,21.772512,8.309803919971486
-40.780304,21.772657,7.568636235841013
-49.35043,10.214014,6.0
-39.514126,61.380238,5.6611452537476765
-43.91637,107.81737,8.187086643357144
-43.91637,107.81737,7.221848749616356
-46.054848,59.4317,6.634512015109101
-43.09606,65.19611,8.568636235841012
-48.33724,68.439316,8.522878745280337
-46.913654,67.98699,8.42021640338319
-59.390053,-13.342144,7.356547323513812
-59.390053,-13.342144,7.744727494896693
-28.932024,29.992556,8.537602002101044
-73.391235,26.895754,7.1487416512809245
-73.391235,26.895754,7.387216143280264
-28.9332,29.99071,9.022276394711152
-63.850197,19.6002,7.920818753952375
-63.850197,19.6002,7.899974269892137
-47.754887,66.3,8.0
-39.514126,61.380238,6.507239610973162
-51.535027,11.274556,6.0
-67.73653,84.388916,9.744727494896694
-27.736208,37.139072,7.886056647693163
-27.736208,37.139072,7.899974269892137
-22.472254,31.915426,6.508638306165727
-42.510178,58.94827,6.718966632752273
-47.97896,10.984196,6.199998172182031
-28.213335,36.81302,7.443697499232712
-28.213335,36.81302,7.400007822415902
-42.943447,65.424065,8.431798275933005
-46.752853,67.19268,8.301029995663981
-52.682137,15.810844,7.221848749616356
-26.521309,80.02126,8.154901959985743
-43.91637,107.81737,8.400007822415901
-4.838547,40.539867,6.512861624522813
-63.606934,15.176741,8.795880017344075
-63.606934,15.176741,8.79997073344623
-47.108025,67.90499,8.522878745280337
-42.781826,65.65646,7.958607314841775
-43.65018,19.225918,7.920818753952375
-43.65257,19.223753,8.67778070526608
-66.21674,85.02694,8.853871964321762
-66.64145,83.223694,8.619788758288394
-21.903427,-48.55125,6.199998172182031
-25.149849,32.909172,6.694648630553377
